id,cnY
PD41048b_lo0355,none
PD41048b_lo0356,none
PD41048b_lo0357,none
PD41048b_lo0358,none
PD41048b_lo0359,none
PD41048b_lo0360,none
PD41048b_lo0361,none
PD41048b_lo0363,none
PD41048b_lo0364,none
PD41048b_lo0365,none
PD41048b_lo0366,none
PD41048b_lo0367,none
PD41048b_lo0368,none
PD41048b_lo0369,none
PD41048b_lo0370,none
PD41048b_lo0372,none
PD41048b_lo0373,none
PD41048b_lo0374,none
PD41048b_lo0375,none
PD41048b_lo0378,none
PD41048b_lo0379,none
PD41048b_lo0380,none
PD41048b_lo0381,none
PD41048b_lo0382,loss Y
PD41048b_lo0383,loss Y
PD41048b_lo0384,none
PD41048b_lo0385,none
PD41048b_lo0386,none
PD41048b_lo0387,none
PD41048b_lo0388,none
PD41048b_lo0389,none
PD41048b_lo0390,none
PD41048b_lo0391,none
PD41048b_lo0393,none
PD41048b_lo0394,none
PD41048b_lo0395,none
PD41048b_lo0397,none
PD41048b_lo0398,none
PD41048b_lo0399,none
PD41048b_lo0400,none
PD41048b_lo0401,none
PD41048b_lo0402,none
PD41048b_lo0403,none
PD41048b_lo0404,none
PD41048b_lo0405,none
PD41048b_lo0406,none
PD41048b_lo0407,none
PD41048b_lo0408,none
PD41048b_lo0409,none
PD41048b_lo0410,none
PD41048b_lo0411,none
PD41048b_lo0412,none
PD41048b_lo0413,none
PD41048b_lo0414,none
PD41048b_lo0415,none
PD41048b_lo0416,none
PD41048b_lo0417,none
PD41048b_lo0418,none
PD41048b_lo0419,none
PD41048b_lo0420,none
PD41048b_lo0421,none
PD41048b_lo0422,none
PD41048b_lo0423,none
PD41048b_lo0424,none
PD41048b_lo0425,none
PD41048b_sc0001,none
PD41048b_sc0003,none
PD41048b_sc0004,none
PD41048b_sc0006,none
PD41048b_sc0007,none
PD41048b_sc0009,none
PD41048b_sc0010,none
PD41048b_sc0011,none
PD41048b_sc0012,none
PD41048b_sc0013,none
PD41048b_sc0014,none
PD41048b_sc0015,none
PD41048b_sc0016,none
PD41048b_sc0017,none
PD41048b_sc0018,none
PD41048b_sc0019,none
PD41048b_sc0020,none
PD41048b_sc0022,none
PD41048b_sc0023,none
PD41048b_sc0024,none
PD41048b_sc0025,none
PD41048b_sc0027,none
PD41048b_sc0028,none
PD41048b_sc0029,none
PD41048b_sc0030,loss Y
PD41048b_sc0031,none
PD41048b_sc0034,loss Y
PD41048b_sc0035,none
PD41048b_sc0036,none
PD41048b_sc0037,none
PD41048b_sc0038,none
PD41048b_sc0040,none
PD41048b_sc0041,none
PD41048b_sc0042,none
PD41048b_sc0044,none
PD41048b_sc0045,none
PD41048b_sc0046,none
PD41048b_sc0047,none
PD41048b_sc0048,none
PD41048b_sc0049,none
PD41048b_sc0050,none
PD41048b_sc0052,none
PD41048b_sc0053,none
PD41048b_sc0054,none
PD41048b_sc0056,none
PD41048b_sc0057,none
PD41048b_sc0058,none
PD41048b_sc0060,none
PD41048b_sc0061,none
PD41048b_sc0063,none
PD41048b_sc0065,none
PD41048b_sc0066,none
PD41048b_sc0067,none
PD41048b_sc0068,none
