id,cnY
BMH1_TG001_3_P12_G06,none
BMH1_TG001_3_P12_G07,none
BMH1_TG001_3_P12_G08,none
BMH1_TG001_3_P12_G09,none
BMH1_TG001_3_P12_G10,none
BMH1_TG001_3_P12_G11,none
BMH1_TG001_3_P12_G12,loss Y
BMH1_TG001_3_P12_H01,none
BMH1_TG001_3_P12_H02,none
BMH1_TG001_3_P12_H04,none
BMH1_TG001_3_P12_H05,none
BMH1_TG001_3_P12_H06,none
BMH1_TG001_3_P12_H07,loss Y
BMH1_TG001_3_P12_H08,none
BMH1_TG001_3_P12_H09,none
BMH1_TG001_3_P12_H10,none
BMH1_TG001_3_P12_H11,none
BMH1_TG001_3_P12_H12,none
BMH1_TG001_P31_A01,none
BMH1_TG001_P31_A02,none
BMH1_TG001_P31_A03,none
BMH1_TG001_P31_A05,none
BMH1_TG001_P31_A06,loss Y
BMH1_TG001_P31_A07,none
BMH1_TG001_P31_A08,loss Y
BMH1_TG001_P31_A09,none
BMH1_TG001_P31_A10,none
BMH1_TG001_P31_A11,none
BMH1_TG001_P31_A12,none
BMH1_TG001_P31_B01,none
BMH1_TG001_P31_B02,none
BMH1_TG001_P31_B03,none
BMH1_TG001_P31_B04,none
BMH1_TG001_P31_B05,none
BMH1_TG001_P31_B06,none
BMH1_TG001_P31_B07,none
BMH1_TG001_P31_B08,none
BMH1_TG001_P31_B09,none
BMH1_TG001_P31_B11,none
BMH1_TG001_P31_B12,loss Y
BMH1_TG001_P31_C01,none
BMH1_TG001_P31_C02,none
BMH1_TG001_P31_C03,none
BMH1_TG001_P31_C04,none
BMH1_TG001_P31_C05,none
BMH1_TG001_P31_C06,none
BMH1_TG001_P31_C07,none
BMH1_TG001_P31_C08,none
BMH1_TG001_P31_C09,none
BMH1_TG001_P31_C10,none
BMH1_TG001_P31_C11,none
BMH1_TG001_P31_C12,none
BMH1_TG001_P31_D01,loss Y
BMH1_TG001_P31_D02,none
BMH1_TG001_P31_D03,none
BMH1_TG001_P31_D04,none
BMH1_TG001_P31_D05,none
BMH1_TG001_P31_D06,none
BMH1_TG001_P31_D07,loss Y
BMH1_TG001_P31_D08,none
BMH1_TG001_P31_D09,none
BMH1_TG001_P31_D10,none
BMH1_TG001_P31_D11,none
BMH1_TG001_P31_D12,none
BMH1_TG001_P31_E01,none
BMH1_TG001_P31_E02,none
BMH1_TG001_P31_E03,none
BMH1_TG001_P31_E04,none
BMH1_TG001_P31_E05,none
BMH1_TG001_P31_E06,none
BMH1_TG001_P31_E07,none
BMH1_TG001_P31_E08,none
BMH1_TG001_P31_E09,none
BMH1_TG001_P31_E10,none
BMH1_TG001_P31_E11,none
BMH1_TG001_P31_E12,none
BMH1_TG001_P31_F02,none
BMH1_TG001_P31_F03,none
